has_spf,has_dkim,has_dmarc,domain_matches,auth_warn,has_suspect_subject,subject_is_uppercase,send_date_is_RFC2822_compliant,send_date_tz_is_valid,has_received_date,uppercase_body,script,images,https_only,mailto,links,bad_words_percentage,html,form,polarity,subjectivity,attachments,attach_is_executable,is_spam
False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,True,0.0,True,False,0.03333333333333333,0.3333333333333333,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.06818181818181818,0.22727272727272727,False,False,1
False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,0.0,False,False,0.24285714285714288,0.5357142857142857,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.0,0.125,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.44152711323763966,0.3452950558213718,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,0.0,False,False,0.28500000000000003,0.41500000000000004,False,False,1
False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,0.0,False,False,-0.15,0.3,False,False,1
False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,0.0,True,False,0.41428571428571426,0.7321428571428571,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,True,0.0,False,False,0.3127840909090909,0.39005681818181814,False,False,1
False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,True,0.0,True,False,0.19388020833333333,0.36354166666666665,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0071090047393364926,True,False,0.044455467372134044,0.40272266313932986,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,0.0,False,False,0.0,0.0,False,False,1
False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,0.0,True,False,0.08333333333333333,0.22916666666666666,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.06818181818181818,0.22727272727272727,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.02727272727272727,0.1859090909090909,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.5541666666666667,0.8166666666666668,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.5541666666666667,0.8166666666666668,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,0.0,False,False,0.0,0.0,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,True,0.0,False,False,0.0,0.375,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.02727272727272727,0.1859090909090909,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.02727272727272727,0.1859090909090909,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.0,0.125,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.44152711323763966,0.3452950558213718,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,0.0,False,False,0.20491071428571428,0.38370535714285714,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,0.0,False,False,0.05113636363636363,0.4602272727272727,False,False,1
False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,0.0,True,False,0.1817099567099567,0.447041847041847,False,False,1
False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,True,0.037037037037037035,True,False,0.03690476190476192,0.4142857142857143,False,False,1
False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,0.0,True,False,0.0949404761904762,0.46889880952380947,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.5541666666666667,0.8166666666666668,False,False,1
False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,0.0,True,False,0.36,0.5650000000000001,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.04545454545454545,0.2515151515151515,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.0,0.125,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.44152711323763966,0.3452950558213718,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.5541666666666667,0.8166666666666668,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.0,0.125,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.0,0.125,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.06818181818181818,0.22727272727272727,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.13511363636363638,0.5923400673400674,False,False,1
False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0,True,False,0.24722222222222223,0.43333333333333335,False,False,1
False,True,False,False,False,True,False,True,True,True,False,False,False,False,False,False,0.0,True,False,0.278125,0.3572916666666667,False,False,1
False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,0.0,True,False,0.06666666666666668,0.49333333333333335,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.02727272727272727,0.1859090909090909,False,False,1
False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,0.0,True,False,0.08333333333333333,0.22916666666666666,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.44152711323763966,0.3452950558213718,False,False,1
False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,0.0,False,False,0.1270899470899471,0.3402380952380953,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,True,0.0,False,False,0.5800000000000001,0.5200000000000001,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,True,0.0,False,False,0.5800000000000001,0.5200000000000001,False,False,1
False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,0.0,False,False,0.07812499999999999,0.51875,False,False,1
False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,0.0,True,False,0.06666666666666668,0.49333333333333335,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,False,False,True,False,0.0,True,False,0.44,0.55,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.5541666666666667,0.8166666666666668,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.0,0.125,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.44152711323763966,0.3452950558213718,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.0,0.125,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.2779761904761905,0.5928571428571427,False,False,1
False,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,0.0047169811320754715,False,False,0.17275401069518717,0.6514705882352941,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.06818181818181818,0.22727272727272727,False,False,1
False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,0.022727272727272728,True,False,0.10625000000000001,0.4,False,False,1
